ds,yhat,yhat_lower,yhat_upper
2010-02-16,4697237.03790004,-33478.47919556446,9350140.409942238
2010-02-17,4770548.358148015,58901.160868979816,9402882.760684146
2010-02-18,4389124.84719894,-185659.4132656869,9059095.582443958
2010-02-19,4659788.586282341,-132782.41200204202,9637039.655873239
2010-02-20,4679389.848013744,122452.45348493992,9600569.469360419
2010-02-21,4691487.155035351,-89263.7505805539,9096370.354752375
2010-02-22,4588799.751532049,-140990.71089509933,9350120.542253459
2010-02-23,4684600.410085187,123156.65994959518,9512405.391307551
2010-02-24,4781123.9442484565,-139187.37048592718,9348870.397579994
2010-02-25,4422179.745277816,-323569.0171004909,9289097.278430045
2010-02-26,4713801.868907,-243695.14656394848,9183273.727524748
2010-02-27,4752090.823762617,310053.1880792011,9318060.14332416
2010-02-28,4779916.61679451,-31452.786394007493,9372986.488728356
2010-03-01,4689392.684492286,-176995.40427529023,9280347.835119795
2010-03-02,4793287.969870669,130092.449834906,9319710.301317768
2010-03-03,4893451.911385864,-161325.3158900899,9208803.528121063
2010-03-04,4533440.134975913,-157164.79451429335,9327345.587272892
2010-03-05,4819173.941503109,103390.4072017584,9698623.866236258
2010-03-06,4846787.415248228,441142.5643412312,9162648.42710704
2010-03-07,4859331.501322336,-40317.94558130292,9591465.597476833
2010-03-08,4749244.599177246,-31541.50352963812,9554507.453874964
2010-03-09,4829756.9802009575,461574.0741391591,9758421.860076334
2010-03-10,4903303.972986525,84020.28282471915,9680521.137456972
2010-03-11,4514136.010355802,71670.78533114612,9228271.205434317
2010-03-12,4768959.050901666,328022.8651678461,9860104.082858853
2010-03-13,4764759.727428181,-122227.4026813542,9398171.928131346
2010-03-14,4745485.188462797,79686.12219398559,9480897.40424303
2010-03-15,4604487.8724062415,369207.9773220513,9655949.018908072
2010-03-16,4655903.268864124,-48849.83153566747,9421577.469999813
2010-03-17,4703036.389863148,-184454.8931299357,9331168.630939303
2010-03-18,4290945.833850164,-400490.9991706949,8926324.503875658
2010-03-19,4527059.730470669,59573.09901114751,9221294.748455385
2010-03-20,4508978.657063688,-255043.80669147434,9389845.856184876
2010-03-21,4481136.172698283,-244960.9099812166,9222835.258659778
2010-03-22,4337227.80941087,65645.3650479857,9221032.888565296
2010-03-23,4391577.077236181,-321450.1457797097,8795293.979418986
2010-03-24,4447514.594043116,-295087.86893421266,9178518.287709558
2010-03-25,4049959.4850110495,-843340.5678590578,8676542.483406004
2010-03-26,4306037.466614404,-382991.17096769233,9048070.116330057
2010-03-27,4312890.6926785065,-471788.09020337235,8811771.945425913
2010-03-28,4314349.853986079,-375490.2417559503,9313048.909077326
2010-03-29,4203379.079099754,-706271.4933826955,8917671.247371633
2010-03-30,4293461.76965881,-569249.6557394427,9407518.184434144
2010-03-31,4387002.941007703,-260108.82175529576,9109227.959191833
2010-04-01,4027936.5653545544,-1076940.1530777554,8805976.141972305
2010-04-02,4322371.600717558,-211969.10957002087,8995325.937653618
2010-04-03,4366430.985131331,-631095.8211050474,9398817.26521587
2010-04-04,4402953.246795503,-462255.3637495983,9175200.785469515
2010-04-05,4323966.418389569,-613768.8774049395,8830834.551902467
2010-04-06,4442101.536706705,-255544.4902420982,9534801.734408334
2010-04-07,4559020.475407342,-608812.4110421453,9046807.68066964
2010-04-09,4524825.9480540315,-93056.48822774891,9246762.988696098
2010-04-10,4575188.503067237,-456387.1074855676,9471066.279974394
2010-04-11,4611852.280927988,-409990.3273146873,9375220.090242965
2010-04-12,4526906.039697951,-238936.36605292745,9152259.065442817
2010-04-13,4633221.82163209,-133644.09708712206,9358404.216064235
2010-04-14,4732877.321794136,56462.58048434384,9345259.05169455
2010-04-15,4369775.167194936,-257580.6380819168,8701202.471742049
2010-04-16,4650292.3593541505,-224052.16446706315,9738505.389243303
2010-04-17,4671113.974191352,37756.471733922386,9013021.394598046
2010-04-18,4675920.835657852,-443290.9988395456,9235644.013622014
2010-04-19,4557841.168739587,-327781.19054627087,9267267.33836073
2010-04-20,4630834.075225982,-165728.86734410876,9384737.349199884
2010-04-21,4698080.372822583,29331.53725994578,10014949.084986897
2010-04-22,4304569.53320312,-345027.0843052516,8932649.861289212
2010-04-23,4557716.899225834,-392360.73216642137,9209616.968365155
2010-04-24,4555166.207883416,40243.8427008883,9408909.519810451
2010-04-25,4541448.0464492,-319489.44418909197,9250958.083268872
2010-04-26,4410405.11057626,-290895.42770798,9307923.2534486
2010-04-27,4476552.897648046,-313752.10671161313,9362087.118647454
2010-04-28,4543452.069469164,54533.6803771651,9473568.338352112
2010-04-29,4156281.796145826,-392358.00175238174,8736888.773257809
2010-04-30,4422448.703116978,-342253.51229099446,9275522.59297246
2010-05-01,4439386.741212602,93615.71283863047,9089626.280029401
2010-05-02,4451218.742649407,-342118.88826426014,9397155.264821954
2010-05-03,4351190.504112654,-73948.36068704685,9184576.039989606
2010-05-04,4453045.839121478,-304545.66634377703,9232595.22074688
2010-05-05,4559418.48331821,-278944.36772850103,9863420.332967486
2010-05-06,4214429.663567627,-345210.7286240037,8832153.669179548
2010-05-07,4524325.314374661,305047.526396259,9579103.184664808
2010-05-08,4585307.502762937,-332512.28672860656,9599009.844355546
2010-05-09,4640229.96610141,-260648.4415234696,9180270.239057675
2010-05-10,4581067.6695469115,-140197.3292022521,9317622.295787316
2010-05-12,4859477.35776606,304415.8556318464,9429763.112995703
2010-05-13,4541574.300807506,-107563.24251217706,9104970.982470825
2010-05-14,4871936.681464839,475361.1290098201,9614669.690190013
2010-05-15,4946002.006615233,250069.3404732931,9652521.348896585
2010-05-16,5006046.761345296,410728.2363094354,9591709.158809362
2010-05-17,4943675.0101405755,271696.3130080759,10102463.684512187
2010-05-18,5071242.9975314345,209641.796814157,9840738.286539335
2010-05-19,5190294.1967018945,257009.24828610415,9929607.771986844
2010-05-20,4844192.34882541,-97967.48295416955,9963793.703201361
2010-05-21,5138785.412207038,418274.98930079874,9789139.440084392
2010-05-22,5170254.152750809,396260.1851400225,9989507.77427179
2010-05-23,5181814.710156663,688267.249813504,10096330.70421198
2010-05-24,5066184.753478205,-165528.42650900758,9770793.818711508
2010-05-25,5136980.677511395,564550.5847097047,9730862.921364063
2010-05-26,5197120.998968714,72267.46228128632,9699297.040845767
2010-05-27,4791424.326842038,301365.3493572152,9702821.272227384
2010-05-28,5027235.756200858,229641.19812664192,9805207.019273048
2010-05-29,5002236.420342759,255491.4363656341,9891499.743095363
2010-05-30,4961106.584740332,214281.6406504259,10022006.063740607
2010-06-01,4827668.75462031,-262376.83449252293,9508639.970972205
2010-06-02,4854302.589775093,6570.210101015897,9487371.54039893
2010-06-03,4423625.672717147,-548066.9467597174,8745981.006272351
2010-06-04,4643731.843430708,-96809.83719745738,9501204.527252413
2010-06-05,4612826.004123218,-522120.9458293242,9256267.975171847
2010-06-06,4575871.88564935,-562913.5572055595,9210103.941357886
2010-06-07,4427010.263352032,15809.65461029209,9364803.48054725
2010-06-08,4480916.389610017,-385589.7865419252,9379649.447661687
2010-06-09,4541172.900643178,-434328.08333849575,9671242.189206498
2010-06-10,4152847.422736428,-792130.1173587563,8746610.27372665
2010-06-11,4423109.306352526,-165781.36765846732,9313122.767162424
2010-06-12,4449040.514448878,-353655.5856010209,9048662.247727364
2010-06-13,4474311.043753552,-432458.385994486,9178315.222173912
2010-06-14,4391629.257619011,138636.39304837334,9214066.181217777
2010-06-15,4514135.046121179,106441.80762321614,9508201.189335752
2010-06-16,4643811.122768425,-293793.7085345266,9484473.9733815
2010-06-17,4324100.664327804,-128699.83908457,9022688.15052815
2010-06-18,4660564.661039929,-75251.25225461756,8940232.803646738
2010-06-19,4748732.929035209,235376.6639798126,9983360.117724568
2010-06-20,4830818.10522236,-84601.82232734236,9797836.432467261
2010-06-21,4798201.989792137,146023.8582042204,9758797.047088515
2010-06-22,4962861.211084495,-7520.576127077038,9818790.246188762
2010-06-23,5125806.67939408,284784.0021001901,10049650.719223365
2010-06-24,4829724.314109476,306928.62476673274,9365784.303139864
2010-06-25,5179649.829544448,507944.4585814148,9875690.815858781
2010-06-27,5345447.193806798,625445.7670331962,10131652.511673182
2010-06-28,5295093.270833606,561226.7899990319,9992922.259337774
2010-06-29,5432198.534572616,1066467.7536532844,10497525.449566144
2010-06-30,5558451.8387604095,800860.6683815721,10506474.256406128
2010-07-01,5217422.92435478,557231.293981987,10111405.75143389
2010-07-02,5515212.618436153,517550.0137926973,10095236.498087645
2010-07-03,5548286.226582078,925273.2441192482,9907055.013222303
2010-07-04,5560159.994789684,370592.58175024774,10334370.873380624
2010-07-05,5443850.824168086,660131.0289612842,10308778.667306991
2010-07-06,5513257.26935722,646624.3569110408,10092207.430533674
2010-07-07,5571547.550854796,400475.1970217812,10119759.48673932
2010-07-08,5163743.500486093,287108.34722737875,9835687.601653555
2010-07-09,5397334.790588449,548971.715572064,10270214.631660746
2010-07-10,5370078.623667892,459871.01158489566,9817184.328585947
2010-07-11,5326655.634234689,627046.2362888033,10017159.650349231
2010-07-12,5161092.965160827,226381.71431337303,9745369.68132314
2010-07-13,5188123.211342134,287936.0791716741,10051713.67469759
2010-07-14,5211555.488121271,235391.81699136106,9734745.383188484
2010-07-15,4776847.923094777,-30401.25948570432,9662871.09364956
2010-07-16,4991716.144323802,202222.52764026276,9649616.637904549
2010-07-17,4953933.002661895,196822.36169359938,9562292.057013914
2010-07-18,4907990.179482557,134870.47536575253,9672668.229101198
2010-07-19,4747532.38493811,39641.469455173894,9231684.02539902
2010-07-20,4786732.434628321,70850.34896967436,9757781.127826354
2010-07-21,4828682.9226554325,111941.25254002519,9447839.428352809
2010-07-22,4417993.132532528,-516208.0991113384,9109261.106845947
2010-07-23,4661425.004156733,-242852.76230524635,9285428.453230286
2010-07-24,4655722.5647542635,-89660.38247378774,9365781.013604678
2010-07-25,4644304.594828369,-216155.04065289977,9867576.267862534
2010-07-26,4519730.329297898,-49175.90516263472,9315144.81171312
2010-07-27,4595105.578256035,-146980.21135805547,9240760.44918471
2010-07-28,4672504.109299337,52129.80457537973,9196282.170502052
2010-07-29,4295592.109032193,-781327.0749035489,9044233.960356766
2010-07-30,4570288.7933841925,-10007.825130287409,9057405.034482606
2010-08-02,4500802.695520285,-245719.9602776048,9669007.599005468
2010-08-03,4591620.165426599,-299971.54543358355,9212989.35080809
2010-08-04,4679826.69912777,20264.28285839841,9640778.400914228
2010-08-05,4309135.817734074,-378843.20842116297,8974054.38208759
2010-08-06,4585666.476725464,-205298.48597495398,9180278.551019613
2010-08-07,4605782.285441869,52276.927216061085,9575020.820337271
2010-08-08,4612785.847693781,-27555.373937632612,9287474.01085272
2010-08-09,4499378.148588846,-301733.7096555348,9041858.923228757
2010-08-10,4579050.729978252,-143151.9935609283,9289179.154178675
2010-08-11,4654486.073744141,93037.32877186073,9554878.327378804
2010-08-12,4270154.787109942,-122959.03705028575,8960135.522058604
2010-08-13,4532943.609746796,-253072.03952085497,9189160.35395935
2010-08-14,4539969.091131466,-223685.43085833528,9123554.029523876
2010-08-15,4535247.371956161,-147041.92392882938,9251458.954207545
2010-08-16,4412130.731649039,-169085.06592276986,9128967.043092748
2010-08-18,4556044.076345184,-30334.18444939435,9051558.455485122
2010-08-19,4171049.947714094,-481524.1385548604,8813163.964467017
2010-08-20,4436813.766064816,-551553.9139318273,9162772.70249567
2010-08-21,4450551.930327665,-145331.1821758288,9261205.298937028
2010-08-22,4456248.430746463,-264939.6793354294,8956904.038036847
2010-08-23,4347093.881183996,-585453.3908378448,8936947.916386092
2010-08-24,4436863.840147355,-207171.9765200143,8690242.44810629
2010-08-25,4528312.171890962,-112466.44788602642,9140320.294354586
2010-08-26,4165768.158934271,-489195.231195314,8865164.247239748
2010-08-27,4455771.286718415,-186814.5798006254,9327525.372690879
2010-08-28,4494898.239004017,-204776.50415372822,9654957.075869162
2010-08-29,4526452.028857652,-87916.92816174544,9465377.79719166
2010-08-30,4442923.236972917,-261117.08918982552,8970173.409179442
2010-08-31,4557390.925374979,-221809.47311183522,9283272.743343066
2010-09-01,4671938.258547846,-249781.95469121166,9206313.073687686
2010-09-02,4330270.840560443,-207512.78357739773,9191992.687084332
2010-09-03,4638371.024428609,-182165.50878683853,9432783.164912656
2010-09-04,4692342.126362147,-43364.02972815432,9309662.969544843
2010-09-05,4735111.940685035,-32739.557849854813,9498302.386477131
2010-09-06,4658905.090913978,-415921.45859486534,9410058.432206418
2010-09-07,4776651.45462405,221136.14647890057,9473138.493110236
2010-09-08,4890405.479151712,510013.54665723606,9695253.728945164
2010-09-09,4543964.303288934,-522664.0393507271,8965329.84139947
2010-09-10,4843517.971669021,203188.07781751218,9732440.861578126
2010-09-12,4913208.747768468,448851.00858148193,9660634.880486317
2010-09-13,4819407.139382565,-354630.3059979443,9783721.584639674
2010-09-14,4917572.400146802,-344526.4134556593,9341294.052385204
2010-09-15,5010367.224973182,-18891.30644431837,9887319.817906678
2010-09-16,4642223.286530901,-147763.06914364078,9059257.809594074
2010-09-17,4919970.241536511,-119037.61691734355,9357800.107098738
2010-09-18,4940650.834136749,104058.69099509633,9867952.833956959
2010-09-19,4948192.450195193,668210.5824401424,9455371.748691954
2010-09-20,4835845.704629883,-63720.96106200542,9461177.32698791
2010-09-21,4917558.401772805,152132.97811043684,9337271.382707369
2010-09-22,4996360.809159862,211730.98233744875,9786294.196285328
2010-09-23,4616951.269004087,-739529.1629327518,9119318.28645496
2010-09-24,4886316.494176438,43470.53240040061,9407309.00277513
2010-09-25,4901541.612077139,224711.45789006457,9373497.605786907
2010-09-26,4906480.486680823,26662.875651209386,9810792.093261557
2010-09-27,4794196.958109778,255043.88484380196,9718900.362233989
2010-09-28,4878345.2728091655,420429.99958230817,9438281.122188115
2010-09-29,4961565.458280194,107034.18469682259,9997901.012979273
2010-09-30,4588082.364416704,96783.95216376998,9088726.23337671
2010-10-01,4864342.309796009,-69487.63743268175,9671732.196694342
2010-10-02,4886841.893716189,74014.91440295649,9578795.995287899
2010-10-03,4898818.923239053,-42210.94002211103,9601663.964867607
2010-10-04,4792715.451073557,-80017.93685355614,9285179.665477308
2010-10-05,4881580.51367374,124608.052561193,9677820.657211514
2010-10-06,4967487.617645308,258155.68372282176,9798694.363228912
2010-10-07,4594154.991785604,-237994.72343728854,9066877.90678505
2010-10-08,4867601.860429722,-85529.50208258026,9588144.129866535
2010-10-09,4883994.6594770085,244031.90356508037,9592100.517450927
2010-10-10,4886352.567827167,383628.17013863934,9606592.685985973
2010-10-11,4767021.854438024,-215831.06549655506,9452144.293356618
2010-10-12,4839086.231143839,-141471.53026586116,9346458.194444008
2010-10-13,4904787.969238315,395209.071198582,9896127.82488648
2010-10-14,4508147.625583584,120913.83954331586,9452842.779489923
2010-10-15,4755615.586944841,133390.91093868198,9612909.525274387
2010-10-16,4743909.433627482,30972.73936387374,9214626.65642587
2010-10-17,4716706.7000848325,199095.48716181537,9288684.004998202
2010-10-18,4567102.857488283,-102768.4460436481,9499988.035976406
2010-10-19,4609002.144173274,-149061.18690566617,9090777.686257802
2010-10-20,4645516.536417117,61024.555267575866,9462416.900040235
2010-10-21,4221561.323275399,-762196.7600185914,8841974.34949101
2010-10-22,4444481.177799072,-561536.6813827003,9453723.884550378
2010-10-23,4411861.4552404415,-488602.525639265,9470337.970329713
2010-10-24,4368195.050103857,-571419.7669440027,9258155.93558031
2010-10-25,4207315.393829687,-782928.24485414,8918514.414585965
2010-10-26,4243763.956200372,-603489.0424322882,8787248.334790133
2010-10-27,4281168.238855293,-594113.7906393659,9295729.108844481
2010-10-28,3864819.35859525,-709333.1642120852,8669680.168162242
2010-10-29,4102283.666111878,-644119.4941580548,9039504.068379287
2010-10-30,4091203.5867942967,-480635.7210682014,8965473.817741374
2010-10-31,4075958.360537583,-719315.7475736345,8819474.770222861
2010-11-01,3950095.4858996696,-647824.7042926662,8801093.023012089
2010-11-02,4027701.3267637664,-836784.0397272327,8517138.157793127
2010-11-03,4111786.833081077,-894450.640785952,8640470.363319686
2010-11-04,3746877.3053650595,-923546.875884771,8305139.501732879
2010-11-05,4039640.3535564737,-510575.60370000685,9038168.960992511
2010-11-06,4086706.823050658,-310582.686169408,9134486.742409851
2010-11-07,4131354.8435242916,-391673.72558381374,8790202.75827629
2010-11-08,4065967.1918736855,-569962.5779462773,9179707.687487885
2010-11-09,4203429.737896418,-507199.4763955713,8707268.110846309
2010-11-10,4345546.17884286,-70829.60254733886,9445020.879728926
2010-11-11,4035657.212255273,-472114.5589148753,8340680.0520579135
2010-11-12,4379297.504765006,-334637.69810555706,9182289.2007922
2010-11-13,4472044.446564663,-548374.910148357,9090479.618646974
2010-11-14,4556228.0961695565,-423350.7518804779,9275139.378510062
2010-11-15,4523411.809074699,-384748.7965156599,9132865.562686779
2010-11-16,4685810.694313181,-259015.2775377502,9598526.8439882
2010-11-17,4844722.571065633,26362.581728099467,9262796.282914333
2010-11-18,4543159.146329153,-341411.2034976262,9413844.0184276
2010-11-19,4886510.460481222,-115723.65838356644,9486537.956749301
2010-11-20,4970396.405533629,378252.2383350018,9907965.75722861
2010-11-21,5037374.666647594,202253.42089277256,9706241.742733777
2010-11-22,4979414.658331624,8780.8051625172,9696294.515373185
2010-11-23,5109304.806354302,769507.4997713979,9778283.757121913
2010-11-24,5229068.177213246,583557.1178843137,9997145.292831931
2010-11-26,5176183.000616932,659930.7101652382,9958188.067169344
2010-11-28,5217401.374813134,498347.32426538604,9921887.206447596
2010-11-29,5101798.328446354,266863.10894694563,9888810.604804024
2010-11-30,5173696.58525079,226540.6861259078,9847330.768071203
2010-12-01,5236244.433057515,695656.8310101576,10190018.55265628
2010-12-02,4834386.344273237,441639.6029531235,9670886.138275884
2010-12-03,5075480.565063898,644664.572646706,9945836.59974345
2010-12-04,5057103.730980655,94087.78967945224,9654264.042590953
2010-12-05,5023713.114197519,703601.5011175484,9745999.44969268
2010-12-06,4869077.279892492,-2184.2214336536026,9425728.061277475
2010-12-07,4907643.626468826,144221.2174493579,9471627.496878067
2010-12-08,4942918.82150697,364035.6159450658,9807997.959002668
2010-12-09,4520051.16560808,-318978.6423564852,9378166.101331245
2010-12-10,4746449.176947336,-5994.591553174491,9530393.992572432
2010-12-11,4719591.347765738,479746.85268590413,9437965.771842308
2010-12-12,4683697.439103648,-374129.19899320626,9260616.564099867
2010-12-13,4532171.742996903,38676.279738380326,9414794.979878165
2010-12-14,4578986.340700076,-507765.8432341375,9391334.094191043
2010-12-15,4627079.839169833,277458.98289249267,8869079.966282675
2010-12-16,4220960.021551356,-412908.8423662296,8887345.519798383
2010-12-17,4467344.059735006,-333771.52795594325,9114468.029977707
2010-12-18,4462990.567090142,70762.1876762188,9055185.39441678
2010-12-19,4451393.176541835,-274595.75146014674,9197162.367008563
2010-12-20,4325245.404679447,-283210.1665204056,9127429.078277616
2010-12-21,4397844.194501169,-402125.23500975134,9122157.04040165
2010-12-22,4471507.034707776,-148861.40620606148,9296248.962613687
2010-12-23,4090190.57402273,-699256.9825689656,8920327.915848173
2010-12-24,4360143.948243223,-300703.77742141497,8930749.468478667
2010-12-25,4377750.758691454,-158294.99524819042,9239370.198312307
2010-12-26,4386229.156054974,-376560.1009390489,9114601.67958308
2010-12-27,4278099.668459522,-554487.408819726,8996884.26151548
2010-12-28,4366588.157953926,-503981.2436573938,9161054.801538901
2010-12-29,4454038.906835438,-649580.1214031912,9282671.464347458
2010-12-30,4084525.964940696,-472982.6717110974,8954055.622036735
2010-12-31,4364496.284783121,-221842.40779047925,9027100.585799567
2011-01-01,4390598.986192208,204525.26051895856,8953495.009628583
2011-01-02,4406370.679738106,119109.05976133575,9232032.32980663
2011-01-03,4304687.024479212,-722526.803846058,9137005.21282904
2011-01-04,4399148.483189358,-314160.9866150736,9352134.204280943
2011-01-06,4129104.4939664286,-718564.707675832,8999819.631321399
2011-01-07,4415810.822363752,-61328.62220056119,8965271.960089589
2011-01-09,4474012.562201355,-183088.03815239642,9379858.442555636
2011-01-10,4382296.47122631,-139463.51439536508,9240546.808453958
2011-01-11,4488053.867138074,-92992.9206310625,9167847.867588365
2011-01-12,4593997.277851196,-586390.2942709003,9299362.274950014
2011-01-13,4244468.872592259,121496.89710789718,9079952.795479879
2011-01-14,4546068.710264594,-105337.99516210787,9488050.457390057
2011-01-15,4595473.72414603,-453125.31246443704,9253655.309451537
2011-01-16,4636117.725062961,23810.284749588365,9552743.465559347
2011-01-17,4560642.783162408,-112223.28976352888,9000907.166899672
2011-01-18,4682289.962112199,-75910.11186868897,9389737.71171647
2011-01-19,4803304.846653587,-175332.46594565798,9443563.60164591
2011-01-20,4467546.270127846,-287407.5143533248,9157024.969468514
2011-01-21,4781131.871715745,64538.59908188456,9158199.10351363
2011-01-22,4840274.752356739,-141552.3553143992,9634108.207255345
2011-01-23,4887980.9130063625,202886.97324905134,9563853.19727576
2011-01-24,4816517.240543835,-223400.8581957556,9140727.354358116
2011-01-25,4938817.443120198,80671.54819172775,9890649.5677521
2011-01-26,5056900.845223493,449282.76007914403,9622801.010139298
2011-01-27,4714491.976906507,-20167.944700292595,9432432.070712235
2011-01-29,5062731.251578797,187097.36764881533,9736928.662954085
2011-01-30,5092846.4089707825,-119373.53132610949,9413419.911301024
2011-01-31,5000568.54446778,360592.1862099632,9481120.223526217
2011-02-01,5099212.862753435,504778.63416363753,9615394.998964118
2011-02-02,5191271.109762663,386016.3860773306,9953775.510916112
2011-02-03,4821019.485156564,241252.84357558002,9405351.179166608
2011-02-04,5095157.800423748,506309.5593986604,9709170.314545132
2011-02-05,5110634.254658249,109295.05009625014,10179894.487626174
2011-02-06,5111325.792735052,498458.3115296173,9830320.19441207
2011-02-07,4990484.262966933,51091.06550018259,9301833.005653294
2011-02-08,5062116.385829422,124180.83920764136,9352072.745154494
2011-02-09,5129373.194020932,713390.8656710277,10158605.510272197
2011-02-10,4737137.746341083,-41327.59465672438,9482714.482733412
2011-02-11,4992645.306859036,269414.33440494695,9436787.231924964
2011-02-12,4993290.969985525,354466.82371590566,9698400.662574453
2011-02-13,4983295.2557006795,363513.92541785474,9928420.251997309
2011-02-14,4856138.384719849,699089.8787609542,9839274.775724618
2011-02-15,4925931.655081372,165661.55388150032,9504397.037323842
2011-02-16,4995801.894043802,131830.00849502473,9708368.555024697
2011-02-18,4876913.81856097,187119.61635123985,9723169.220051076
2011-02-19,4892102.425588966,188720.10440999176,9783064.97287132
2011-02-20,4899751.998581403,146067.12166424945,9468489.716751983
2011-02-21,4792733.922701711,-42034.562925152844,9674086.538336491
2011-02-22,4884471.064363632,349327.8027539037,9692117.51214915
2011-02-23,4977341.756815353,-64619.83086151273,9515004.712630225
2011-02-24,4615287.946614138,-167665.98632867384,9624965.83324676
2011-02-25,4904461.160396464,158977.40923510861,10011395.03811426
2011-02-26,4941060.570503883,-88861.58343824834,9648625.56625492
2011-02-27,4968032.831232604,249949.97750653254,9776848.089682437
2011-02-28,4877543.416797417,356022.95441834745,9573689.623588229
2011-03-01,4982386.805967402,181026.7380029076,9717621.57533834
2011-03-02,5084410.344435422,306508.5307291992,10283030.804188425
2011-03-03,4727139.618826228,-278983.2891970149,9418421.483613688
2011-03-04,5016438.453589617,308891.8825358099,9609052.800808176
2011-03-05,5048357.350940911,197146.25386094462,9584397.78846306
2011-03-06,5065839.691564742,342243.97732566175,10130987.201869106
2011-03-07,4961195.189246218,507001.8588935383,9653986.137619808
2011-03-08,5047507.830815869,428775.7950251756,9547367.553891592
2011-03-09,5127053.147926478,669569.3346762508,9709615.801113443
2011-03-10,4743912.799876803,22970.841403798702,9138344.103542648
2011-03-11,5004619.850850618,441167.4733482435,9675819.247942781
2011-03-12,5005988.953701671,109121.66666706649,9822504.760968054
2011-03-13,4991801.259485022,328102.2830885281,9668275.688818686
2011-03-14,4855254.142805629,196142.0278895226,9566256.44143257
2011-03-15,4910343.650036327,-124429.0525863055,9638407.05343616
2011-03-16,4960255.251904319,174695.4880045927,9729644.777267043
2011-03-17,4549951.6527383365,-5510.931402292499,9153156.065946626
2011-03-18,4786791.828317623,430333.0674348706,9625497.510006018
2011-03-19,4768336.285267494,123471.82181640966,9488169.178946918
2011-03-20,4739009.111057843,-218356.81388375,9177750.550692685
2011-03-21,4592527.601056037,-244286.55005880186,8964840.563431298
2011-03-22,4643267.991251655,344112.5217730387,9121956.290477488
2011-03-23,4694643.407548601,148856.13840276902,9454544.05637507
2011-03-24,4291683.199483011,-383096.08892033034,8751801.290412586
2011-03-25,4541648.127298232,-425942.4047386441,9443643.14696067
2011-03-26,4541836.555345066,-105799.66758247912,9286395.119194046
2011-03-27,4536252.243034715,-113895.00909729385,9175233.298142573
2011-03-28,4418044.400560962,-561242.1802538304,9054122.874570807
2011-03-29,4500888.280018443,-322782.7426099631,8786612.698957166
2011-03-30,4587382.020728159,-383387.00250183034,9650945.486388892
2011-03-31,4221648.405900644,-770730.1352579356,8854021.181595832
